#
#
# US Geological Survey
# retrieved: 2020-01-20 13:31:30 -05:00	(sdas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# Warning: A site search criterion has been used for which the data may be unavailable.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
USGS	364607082550601	07C  2	GW	36.7687026	-82.9182195	S	NAD83	 1400.00	 20	NGVD29	06010206
USGS	364629081484201	16C  1	GW	36.7748355	-81.81151148	S	NAD83	 2070.00	 20	NGVD29	06010102
USGS	364638082524301	07C  1	GW	36.7773151	-82.8784964	S	NAD83	 1560.00	 20	NGVD29	06010206
USGS	364653081010501	22C 1	GW	36.78138889	-81.0180556	S	NAD83	 2435.00	010	NGVD29	05050001
USGS	364658081420601	UTEN98-29	GW	36.78277778	-81.70163889	5	NAD83	 1950	 20	NAVD88	06010102
USGS	364714082325301	UTEN98-27	GW	36.78719444	-82.5479722	5	NAD83	 1360	 20	NGVD29	06010205
USGS	364804081205701	19C  1	GW	36.8012296	-81.348994	S	NAD83	 2690.00	 20	NGVD29	06010102
USGS	364824082371701	UTEN98-28	GW	36.8066111	-82.6215278	5	NAD83	 1460	 20	NGVD29	06010205
USGS	364855082413001	09C  1	GW-TH	36.81537566	-82.6915479	S	NAD83	 3270.00	 .1	NGVD29	06010205
USGS	365243082521401	08D  4	GW-TH	36.87870498	-82.87043989	S	NAD83	 2254.20	0.1	NGVD29	06010206
USGS	365244082521201	08D  5	GW-TH	36.87898278	-82.8698843	S	NAD83	 2232.90	0.1	NGVD29	06010206
USGS	365248082524201	07D  1	GW-TH	36.88009367	-82.8782178	S	NAD83	 2610.13	0.1	NGVD29	06010206
USGS	365253082520001	08D  6	GW-TH	36.88148289	-82.8665509	S	NAD83	 2354.50	 .1	NGVD29	06010206
USGS	365351082150901	12D  6	GW	36.89760516	-82.2523617	S	NAD83	 1500.00	 20	NGVD29	06010205
USGS	365357082210101	12D  5	GW-TH	36.89927046	-82.350145	S	NAD83	 1820.00	 .1	NGVD29	06010205
USGS	365357082491801	08D  8	GW-TH	36.89926199	-82.8215502	S	NAD83	 1900.00	 .1	NGVD29	06010206
USGS	365516082505601	08D  7	GW-TH	36.92120584	-82.8487726	S	NAD83	 2582.00	 .1	NGVD29	06010206
USGS	365517081403601	UTEN98-30	GW	36.92141667	-81.6765833	5	NAD83	 1840	 20	NGVD29	06010101
USGS	365536082410501	09D 14	GW	36.9267652	-82.684603	S	NAD83	 2100.00	1.0	NGVD29	06010205
USGS	365551082411001	09D 13	GW	36.93093188	-82.6859919	S	NAD83	 2209.00	1.0	NGVD29	06010205
USGS	365614082312101	10D 21	GW-TH	36.93732406	-82.522376	S	NAD83	 2050.00	 .1	NGVD29	06010205
USGS	365621082312901	10D 20	GW-TH	36.93926849	-82.5245983	S	NAD83	 2076.00	 .1	NGVD29	06010205
USGS	365646082390701	09D 15	GW	36.9462104	-82.6518242	S	NAD83	 2200.00	1.0	NGVD29	06010205
USGS	365725082383401	09D 16	GW	36.957044	-82.64265729	S	NAD83	 2147.00	1.0	NGVD29	06010205
USGS	365746082391101	09D  7	GW	36.96287719	-82.6529354	S	NAD83	 2325.00	1.0	NGVD29	06010206
USGS	365752082385701	09D  6	GW	36.96454395	-82.6490463	S	NAD83	 2410.00	1.0	NGVD29	06010206
USGS	365814082443001	09D 19  OLD DUNBAR	GW	36.97065309	-82.741549	U	NAD83	 2015.00	 10	NGVD29	06010206
USGS	365816082443301	09D 17  MOSLER DUNB	GW	36.9712086	-82.7423824	U	NAD83	 2020.00	 10	NGVD29	06010206
USGS	365858082381801	09D 19	GW-TH	36.98287766	-82.6382127	S	NAD83	 2509.34	0.1	NGVD29	06010205
USGS	365900082380001	09D 20	GW-TH	36.9834333	-82.6332125	S	NAD83	 2408.00	 .1	NGVD29	06010205
USGS	365902082365601	10D 18	GW	36.98398929	-82.6154342	S	NAD83	 2155.00	1.0	NGVD29	06010205
USGS	365902082365801	10D 17	GW	36.98398928	-82.6159898	S	NAD83	 2155.00	1.0	NGVD29	06010205
USGS	365906082394701	09D  9	GW	36.98509934	-82.6629356	S	NAD83	 2235.00	1.0	NGVD29	06010205
USGS	365908082365801	10D 19	GW	36.98565596	-82.6159898	S	NAD83	 2153.00	1.0	NGVD29	06010205
USGS	365928082403501	09D  8	GW	36.99121018	-82.6762693	S	NAD83	 2335.00	1.0	NGVD29	06010205
USGS	365942082322801	10D 23	GW-TH	36.9951022	-82.5409875	S	NAD83	 2620.00	 .1	NGVD29	06010205
USGS	365952082322301	10D 22	GW-TH	36.99788007	-82.5395986	S	NAD83	 2580.00	 .1	NGVD29	05070202
USGS	370003082315601	10E 12	GW-TH	37.00093585	-82.5320984	S	NAD83	 2600.00	0.1	NGVD29	06010205
USGS	370029082385601	09E  7	GW	37.0081555	-82.6487684	S	NAD83	 2275.00	1.0	NGVD29	06010205
USGS	370034082391401	09E  8	GW	37.0095443	-82.6537686	S	NAD83	 2270.00	1.0	NGVD29	06010205
USGS	370056082395301	09E  6	GW	37.01565529	-82.6646022	S	NAD83	 2230.00	1.0	NGVD29	06010205
USGS	370058082262101	11E 12	GW-TH	37.01621528	-82.4390387	F	NAD83	 1800.00	20	NGVD29	05070202
USGS	370100082253201	11E 13	GW-TH	37.01677097	-82.4254269	F	NAD83	 2000.00	20	NGVD29	05070202
USGS	370130082400101	09E  4	GW	37.0250999	-82.6668244	S	NAD83	 2305.00	1.0	NGVD29	05070202
USGS	370134082400301	09E  3	GW	37.026211	-82.6673799	S	NAD83	 2245.00	1.0	NGVD29	05070202
USGS	370238082351401	10E 10	GW-TH	37.043991	-82.5870999	S	NAD83	 2139.37	.01	NGVD29	05070202
USGS	370255082394901	09E  5	GW	37.0487116	-82.6634908	S	NAD83	 2490.00	1.0	NGVD29	05070202
USGS	370302082394201	09E  9	GW-TH	37.0506561	-82.6615463	F	NAD83	 2420.00	20	NGVD29	06010205
USGS	370335082341001	10E 11	GW-TH	37.0598251	-82.5693216	S	NAD83	 2010.00	 .1	NGVD29	05070202
USGS	370336082335001	10E 13	GW-TH	37.060103	-82.5637659	S	NAD83	 2087.00	 .1	NGVD29	05070202
USGS	370339082344901	10E 14	GW-TH	37.06093599	-82.5801552	S	NAD83	 2305.00	 .1	NGVD29	05070202
USGS	370406082331001	10E  4	GW	37.06843677	-82.5526545	S	NAD83	 2326.10	0.1	NGVD29	05070202
USGS	370426082314001	10E  5	GW	37.073993	-82.5276539	S	NAD83	 1902.40	0.1	NGVD29	05070202
USGS	370436082022201	14E  7	GW	37.07677685	-82.0392959	S	NAD83	 1795.00	10	NGVD29	05070202
USGS	370443082022301	14E 40	GW	37.0787213	-82.0395737	S	NAD83	 1808.00	2.5	NGVD29	05070202
USGS	370443082022302	14E 41	GW	37.0787213	-82.0395737	S	NAD83	 1810.00	2.5	NGVD29	05070202
USGS	370443082022303	14E 42	GW	37.0787213	-82.0395737	S	NAD83	 1808.00	2.5	NGVD29	05070202
USGS	370443082022304	14E 44	GW	37.0787213	-82.0395737	S	NAD83	 1808.00	2.5	NGVD29	05070202
USGS	370500082024001	14E  9	GW	37.08344349	-82.0442963	U	NAD83	 1880.00	10	NGVD29	05070202
USGS	370505082364201	10E  9	GW-TH	37.08482468	-82.6115448	S	NAD83	 1878.25	0.1	NGVD29	05070202
USGS	370508082310301	09E  1	GW	37.08566015	-82.5173759	S	NAD83	 1700.00	1.0	NGVD29	05070202
USGS	370514082024501	14E  5	GW	37.08733239	-82.0456852	S	NAD83	 1925.00	10	NGVD29	05070202
USGS	370515082340501	10E 15	GW-TH	37.0876035	-82.5679326	F	NAD83	 1920.00	20	NGVD29	05070202
USGS	370523082025701	14E 11	GW	37.08983236	-82.0490188	S	NAD83	 1955.00	10	NGVD29	05070202
USGS	370527082022901	14E 25	GW	37.09094359	-82.04124059	S	NAD83	 2448.00	2.5	NGVD29	05070202
USGS	370527082022902	14E 26	GW	37.09094359	-82.04124059	S	NAD83	 2451.00	2.5	NGVD29	05070202
USGS	370527082022903	14E 37	GW	37.09094359	-82.04124059	S	NAD83	 2449.00	2.5	NGVD29	05070202
USGS	370527082022904	14E 38	GW	37.09094359	-82.04124059	S	NAD83	 2454.00	2.5	NGVD29	05070202
USGS	370527082022905	14E 39	GW	37.09094359	-82.04124059	S	NAD83	 2455.00	2.5	NGVD29	05070202
USGS	370528082025801	14E 10	GW	37.09122126	-82.04929658	S	NAD83	 2000.00	10	NGVD29	05070202
USGS	370538082340101	10E 16	GW-TH	37.09399255	-82.56682149	F	NAD83	 1920.00	20	NGVD29	05070202
USGS	370542082022201	14E 17	GW	37.0951103	-82.039296	S	NAD83	 2000.00	20	NGVD29	05070202
USGS	370552082025401	14E 12	GW	37.09788799	-82.0481855	U	NAD83	 2075.00	10	NGVD29	05070202
USGS	370557082021901	14E 18	GW	37.099277	-82.0384627	S	NAD83	 2060.00	20	NGVD29	05070202
USGS	370604082025401	14E 24	GW	37.10122134	-82.0481855	S	NAD83	 2100.00	10	NGVD29	05070202
USGS	370604082403901	09E 10 SOW 223	GW	37.10110278	-82.6772417	H	NAD83	 1665	  1	NAVD88	05070202
USGS	370607082080901	13E  5	GW	37.10122035	-82.1248563	S	NAD83	 1560.00	20	NGVD29	05070202
USGS	370609082030001	14E 13	GW	37.1026102	-82.0498523	S	NAD83	 2045.00	10	NGVD29	05070202
USGS	370617082031601	14E 22	GW	37.1048324	-82.054297	S	NAD83	 2060.00	10	NGVD29	05070202
USGS	370622082032401	14E 14	GW	37.10622128	-82.0565193	S	NAD83	 2125.00	10	NGVD29	05070202
USGS	370629082055401	14E 32	GW	37.1081652	-82.0981882	S	NAD83	 1620.00	20	NGVD29	05070202
USGS	370634082055501	14E 31	GW	37.1095541	-82.098466	S	NAD83	 1620.00	20	NGVD29	05070202
USGS	370638082075401	13E  6	GW	37.1106648	-82.1315234	S	NAD83	 1480.00	 20	NGVD29	05070202
USGS	370658082072601	14E 28	GW	37.11622054	-82.1237452	S	NAD83	 1600.00	20	NGVD29	05070202
USGS	370659082072901	14E 27	GW	37.1164983	-82.1245786	S	NAD83	 1560.00	20	NGVD29	05070202
USGS	370701082033201	14E 23	GW	37.11705467	-82.0587417	S	NAD83	 2495.00	10	NGVD29	05070202
USGS	370720082045801	14E 33	GW	37.1223322	-82.082632	S	NAD83	 1675.00	20	NGVD29	05070202
USGS	370735081591401	15F 25	GW-TH	37.1265	-81.9870713	F	NAD83	 2326.70	.10	NGVD29	05070202
USGS	370747081584801	15F 26	GW-TH	37.12983346	-81.9798486	F	NAD83	 2108.10	.10	NGVD29	05070202
USGS	370750082043701	14F 88	GW	37.13066568	-82.0767984	S	NAD83	 1710.00	20	NGVD29	05070202
USGS	370755082030901	14F 89	GW	37.13205486	-82.0523526	S	NAD83	 1910.00	20	NGVD29	05070202
USGS	370805081574201	15F 23	GW	37.13566699	-81.9648478	S	NAD83	 1890.00	1	NGVD29	05070202
USGS	370828082063301	14F 85	GW	37.14122099	-82.1090224	S	NAD83	 1635.00	20	NGVD29	05070202
USGS	370842081594001	15F 24	GW-TH	37.1451111	-81.994294	S	NAD83	 2382.00	 .1	NGVD29	05070202
USGS	370843081582301	15F 21	GW	37.14538915	-81.9729038	S	NAD83	 1740.00	20	NGVD29	05070202
USGS	370856082334201	10F  4	GW-TH	37.1489938	-82.5615435	F	NAD83	 2060.00	20	NGVD29	05070202
USGS	370900082313601	10F  3	GW-TH	37.1501057	-82.5265429	S	NAD83	 2066.00	 .1	NGVD29	05070202
USGS	370903081583601	15F 20	GW	37.15094469	-81.9765152	S	NAD83	 1680.00	20	NGVD29	05070202
USGS	370909082332301	10F  5	GW-TH	37.1526051	-82.5562657	F	NAD83	 1800.00	20	NGVD29	05070202
USGS	370923082012601	14F 27	GW	37.15649977	-82.0237402	S	NAD83	 1600.00	10	NGVD29	05070202
USGS	370926082014601	14F 94	GW-TH	37.15733306	-82.029296	S	NAD83	 1680.00	20	NGVD29	05070202
USGS	370931082015401	14F 93	GW-TH	37.1587219	-82.0315184	S	NAD83	 1740.00	20	NGVD29	05070202
USGS	371031082023801	14F 92	GW-TH	37.1753886	-82.0437414	S	NAD83	 2160.00	 .1	NGVD29	05070202
USGS	371032081594501	15F 18	GW	37.1756668	-81.9956833	S	NAD83	 1520.00	20	NGVD29	05070202
USGS	371033082374301	I29A0007	GW	37.17593738	-82.6284892	S	NAD83	 1512	20	NGVD29	05100201
USGS	371116082254001	11F  7	GW-TH	37.18788547	-82.42765	F	NAD83	 1980.00	20	NGVD29	05070202
USGS	371121082021801	14F 28	GW	37.1892776	-82.0381857	S	NAD83	 1880.00	10	NGVD29	05070202
USGS	371156082060201	14F  7	GW	37.19899946	-82.1004113	S	NAD83	 1800.00	10	NGVD29	05070202
USGS	371230082031001	14F 91	GW-TH	37.2084443	-82.052631	S	NAD83	 1784.00	0.1	NGVD29	05070202
USGS	371258082131601	13F  2	GW-TH	37.2162211	-82.2209734	S	NAD83	 1980.00	 .1	NGVD29	05070202
USGS	371308081484701	16F  1	GW-TH	37.21900186	-81.8128928	F	NAD83	 2340.00	10	NGVD29	05070202
USGS	371317082161401	12F  3	GW-TH	37.2214986	-82.2704204	F	NAD83	 2000.00	20	NGVD29	05070202
USGS	371328081425501	17F  1	GW-TH	37.22455818	-81.7151099	F	NAD83	 2820.00	20	NGVD29	06010205
USGS	371337082010801	14F  8	GW	37.22705578	-82.0187405	S	NAD83	 1280.00	5	NGVD29	05070202
USGS	371355082162301	12F  4	GW-TH	37.23205435	-82.2729206	F	NAD83	 1900.00	20	NGVD29	05070202
USGS	371410082031801	14F 53	GW	37.2362223	-82.0548536	S	NAD83	 1160.00	10	NGVD29	05070202
USGS	371418082052501	14F 24	GW	37.23844437	-82.0901333	S	NAD83	 1122.00	10	NGVD29	05070202
USGS	371438082114801	13D  4	GW-TH	37.24399948	-82.19652789	F	NAD83	 2414.59	.10	NGVD29	06010205
USGS	371450082114601	13D  3	GW-TH	37.24733286	-82.1959723	F	NAD83	 2423.00	.10	NGVD29	06010205
USGS	371505082125601	13G 16	GW-TH	37.25149946	-82.2154178	F	NAD83	 1940.00	20	NGVD29	05070202
USGS	371509082053101	14G  9	GW-TH	37.2526111	-82.0918001	S	NAD83	 1360.00	 .1	NGVD29	05070202
USGS	371513082132201	13G 15	GW-TH	37.2537216	-82.2226404	S	NAD83	 1920.00	20	NGVD29	05070202
USGS	371516081110301	 Mer-0174	GW	37.25444444	-81.1841944	1	NAD83	 3480	 10	NGVD29	05050002
USGS	371621081551801	15G 18	GW-TH	37.27261195	-81.92151128	F	NAD83	 2160.00	20	NGVD29	05070202
USGS	371742082152101	12G  2	GW-TH	37.29510945	-82.2556974	F	NAD83	 1970.00	20	NGVD29	05070202
USGS	371820082160301	12G  3	GW-TH	37.30566465	-82.2673645	F	NAD83	 1900.00	20	NGVD29	05070202
USGS	371841081584201	15G 19 SOW 222	GW	37.3114972	-81.9780833	H	NAD83	 1442	  1	NGVD29	05070202
USGS	371915081082601	 Mer-0120	GW	37.3209512	-81.140371	S	NAD83	 2430.00	010	NGVD29	05050002
USGS	371915081173201	 Mer-0169	GW	37.3208333	-81.2922222	S	NAD83	 2745.00	010	NGVD29	05050002
USGS	372119082114701	13G 13	GW	37.35538659	-82.196249	S	NAD83	 920.00	20	NGVD29	05070202
USGS	372121082114101	13G 12	GW	37.35594215	-82.1945823	S	NAD83	 920.00	20	NGVD29	05070202
USGS	372149081055001	 Mer-0113	GW	37.36372936	-81.0970359	F	NAD83	 2386.63	 10	NAVD88	05050002
USGS	372238081015601	 Mer-0123	GW	37.3773412	-81.0320328	S	NAD83	 2520.00	20	NGVD29	05050002
USGS	372308081234501	 Mcd-0203	GW	37.38561944	-81.3957556	H	NAD83	 2063.29	 .3	NAVD88	05070201
USGS	372314081232001	 Mcd-0206	GW	37.3872861	-81.3889	H	NAD83	 2453.63	 .3	NAVD88	05070201
USGS	372318081242601	 Mcd-0068	GW	37.3884484	-81.4201032	S	NAD83	 1860.00	20	NGVD29	05070201
USGS	372322081241501	 Mcd-0204	GW	37.3895083	-81.40408889	H	NAD83	 2041.13	 33	NAVD88	05070201
USGS	372323081232001	 Mcd-0207	GW	37.38971667	-81.3890167	H	NAD83	 2199.44	 .3	NAVD88	05070201
USGS	372338081244901	 Mcd-0208	GW	37.393975	-81.4135861	H	NAD83	 2496.62	 .3	NAVD88	05070201
USGS	372340081234301	 Mcd-0209	GW	37.39456667	-81.3953444	H	NAD83	 2545.79	 .3	NAVD88	05070201
USGS	372425081241301	 Mcd-0205	GW	37.4068361	-81.40355	H	NAD83	 2214.24	 .3	NAVD88	05070201
USGS	372457081265401	 Mcd-0070	GW	37.41594805	-81.4481591	S	NAD83	 1640.00	20	NGVD29	05070201
USGS	372457081265402	 Mcd-0176	GW	37.41594805	-81.4481591	S	NAD83	 1640.	20	NGVD29	05070201
USGS	372511081290901	 Mcd-0136	GW	37.4198366	-81.4856598	S	NAD83	 1540.00	20	NGVD29	05070201
USGS	372530081301901	 Mcd-0114	GW	37.4251142	-81.5051046	S	NAD83	 1520.00	20	NGVD29	05070201
USGS	372552081364001	 Mcd-0141	GW	37.43122436	-81.610941	S	NAD83	 1563.00	 20	NGVD29	05070201
USGS	372552081364301	 Mcd-0178	GW	37.43122435	-81.6117743	S	NAD83	 1540.00	 10	NGVD29	05070201
USGS	372552081364401	 Mcd-0143	GW	37.43122435	-81.6120521	S	NAD83	 1529.00	 20	NGVD29	05070201
USGS	372731082040301	14H  3	GW-TH	37.45872009	-82.06735029	S	NAD83	 1400.00	 .1	NGVD29	05070201
USGS	372734081490202	 Mcd-0149	GW	37.459778	-81.8169261	1	NAD83	 1000.00	 20	NGVD29	05070201
USGS	372958081060501	 Mer-0176	GW	37.49955556	-81.1015	5	NAD83	 2060	 20	NGVD29	05050002
USGS	373020081075601	 Mer-0170	GW	37.50555556	-81.1322222	F	NAD83	 1858.00	002	NGVD29	05050002
USGS	373022081003701	 Mer-0175	GW	37.5061111	-81.0103611	5	NAD83	 2470	 20	NGVD29	05050002
USGS	373128081352401	 Wyo-0277	GW	37.5243611	-81.59	S	NAD83	 1320	 20	NGVD29	05070101
USGS	373503081225101	 Wyo-0208	GW	37.58428085	-81.3806582	S	NAD83	 1430.00	40	NGVD29	05070101
USGS	373503081225201	 Wyo-0062	GW	37.58428085	-81.3809359	S	NAD83	 1410.00	 20	NGVD29	05070101
USGS	373514081405101	 Wyo-0268	GW	37.5872972	-81.68093889	5	NAD83	 1160	 20	NGVD29	05070101
USGS	373543081301501	 Wyo-0274	GW	37.5952222	-81.5041944	S	NAD83	 1540	 20	NGVD29	05070101
USGS	373553081380601	 Wyo-0269	GW	37.59796667	-81.6349306	5	NAD83	 1280	 20	NGVD29	05070101
USGS	373554081493401	 Mig-0131	GW	37.598443	-81.8259495	U	NAD83	 901	 10	NAVD88	05070101
USGS	373619081083901	 Ral-0153	GW	37.60539437	-81.1439854	S	NAD83	 2980.00	20	NGVD29	05050004
USGS	373626081070201	 Ral-0154	GW	37.60733918	-81.1170399	S	NAD83	 3060.00	20	NGVD29	05050004
USGS	373722081064901	 Ral-0155	GW	37.62289469	-81.1134288	S	NAD83	 2980.00	20	NGVD29	05050004
USGS	373839081255201	 Wyo-0148	GW	37.64416667	-81.4311111	S	NAD83	 2020.48	.31	NAVD88	05070101
USGS	374208081114401	 Ral-0159	GW	37.7023375	-81.1953772	S	NAD83	 2260.00	20	NGVD29	05050004
USGS	374209081090701	 Ral-0160	GW	37.70261588	-81.1517645	S	NAD83	 2420.00	20	NGVD29	05050004
USGS	374249081520201	 Log-0140	GW	37.7137188	-81.86706298	S	NAD83	 760.00	20	NGVD29	05070101
USGS	374255081001001	 Ral-0165	GW	37.71539557	-81.0025927	F	NAD83	 2560.00	20	NGVD29	05050004
USGS	374304081013801	 Ral-0166	GW	37.7178952	-81.027038	S	NAD83	 2940.00	 20	NGVD29	05050004
USGS	374315081130401	 Ral-0169	GW	37.7209482	-81.2176004	S	NAD83	 2260.00	20	NGVD29	05050004
USGS	374434081350401	 Wyo-0255	GW-CR	37.74288876	-81.5842752	S	NAD83	 1640.	20	NGVD29	05070101
USGS	374439081041801	 Ral-0173	GW	37.74428335	-81.0714845	S	NAD83	 2620.00	20	NGVD29	05050004
USGS	374516081340801	 Wyo-0257	GW-CR	37.7545555	-81.5687193	S	NAD83	 1970.	20	NGVD29	05070101
USGS	374517081114601	 Ral-0174	GW	37.75483714	-81.1959333	S	NAD83	 2500.00	20	NGVD29	05050004
USGS	374535081534301	 Log-0152	GW	37.7598289	-81.8951199	S	NAD83	 740.00	20	NGVD29	05070101
USGS	374645081030701	 Ral-0220	GW	37.77916667	-81.0519444	S	NAD83	 2800.00	005	NGVD29	05050004
USGS	375228081144601	 Ral-0186	GW	37.8745566	-81.2459374	S	NAD83	 2060.00	20	NGVD29	05050006
USGS	375232081382701	 Boo-0254	GW	37.87555556	-81.6408333	S	NAD83	 1060.00	020	NGVD29	05050009
USGS	375243081162801	 Ral-0188	GW	37.8787229	-81.2742714	S	NAD83	 1700.00	20	NGVD29	05050006
USGS	375246081133401	 Ral-0221	GW	37.8796222	-81.2263917	1	NAD83	 2010.00	010	NGVD29	05050006
USGS	375302081114001	 Fay-0169	GW	37.88400155	-81.19426908	S	NAD83	 2380.00	20	NGVD29	05050004
USGS	375302081390901	 Boo-0234	GW	37.88399617	-81.6523359	S	NAD83	 1030.00	20	NGVD29	05050009
USGS	375336082134001	 Mig-0144	GW	37.89325	-82.2278056	S	NAD83	 900	 20	NGVD29	05090102
USGS	375339082143501	 Mig-0143	GW	37.89427778	-82.2429444	S	NAD83	 880	 20	NGVD29	05090102
USGS	375416082005301	 Log-0212	GW	37.90454637	-82.0145712	S	NAD83	 800.00	 10	NGVD29	05070102
USGS	375417081141401	 Fay-0171	GW	37.90483397	-81.2370488	S	NAD83	 1700.00	20	NGVD29	05050006
USGS	375420081091301	 Fay-0274	GW	37.9059972	-81.15375	1	NAD83	 1684.00	002	NGVD29	05050004
USGS	375426081094101	 Fay-0268	GW	37.9072222	-81.16138889	S	NAD83	 1682.00	005	NGVD29	05050004
USGS	375426081504001	 Log-0219	GW	37.90732639	-81.8442872	U	NAD83	 912.0	 20	NGVD29	05050009
USGS	375518081101001	 Fay-0174	GW	37.92177897	-81.1692689	S	NAD83	 1860.00	20	NGVD29	05050004
USGS	375710081150301	 Fay-0175	GW	37.9528885	-81.2506613	S	NAD83	 1580.00	20	NGVD29	05050006
USGS	375713081043601	 Fay-0281	GW	37.95349167	-81.0767972	5	NAD83	 1065.49	005	NAVD88	05050004
USGS	375726081065701	 Fay-0176	GW	37.95733455	-81.1156565	S	NAD83	 1700.00	20	NGVD29	05050004
USGS	375739081171801	 Fay-0275	GW	37.96089444	-81.28851389	1	NAD83	 1585	020	NGVD29	05050006
USGS	375800081132701	 Fay-0178	GW	37.96677749	-81.223994	S	NAD83	 1700.00	20	NGVD29	05050006
USGS	375805081093001	 Fay-0179	GW	37.96816717	-81.1581583	S	NAD83	 1660.00	20	NGVD29	05050004
USGS	375811082212401	 Way-0142	GW	37.96981644	-82.3565346	S	NAD83	 740.00	 20	NGVD29	05090102
USGS	375827082211501	 Way-0118	GW	37.9742608	-82.3540346	U	NAD83	 739.30	 20	NAVD88	05090102
USGS	375829081180801	 Fay-0276	GW	37.97486389	-81.3022278	1	NAD83	 1450.00	020	NGVD29	05050006
USGS	375829081181101	 Fay-0277	GW	37.974832	-81.302885	S	NAD83	 1450.00	020	NGVD29	05050006
USGS	375833082212101	 Way-0110	GW	37.9756861	-82.3555778	1	NAD83	 762.64	  8	NAVD88	05090102
USGS	375845081154601	 Fay-0180	GW	37.9792768	-81.2626065	S	NAD83	 1460.00	20	NGVD29	05050006
